gjoin_src,gjoin_tgt,wt_pop,wt_hh
G2500010010100,G2500010010100,1.0,1.0
G2500010010206,G2500010010206,1.0,1.0
G2500010010208,G2500010010208,1.0,1.0
G2500010010304,G2500010010304,0.999828862838252,0.999828862838252
G2500010010304,G2500010010306,1.3244054237181717e-05,1.3244054237181717e-05
G2500010010304,G2500010010400,0.0001578931075107631,0.0001578931075107631
G2500010010306,G2500010010304,2.0753409336431612e-05,2.0753409336431612e-05
G2500010010306,G2500010010306,0.9999792465906636,0.9999792465906636
G2500010010400,G2500010010304,1.090649527986131e-06,1.090649527986131e-06
G2500010010400,G2500010010400,0.9998853534878522,0.9998853534878522
G2500010010400,G2500010010900,0.00011355586261973247,0.00011355586261973247
G2500010010500,G2500010010304,2.1804892382664675e-06,2.1804892382664675e-06
G2500010010500,G2500010010500,0.9999978195107617,0.9999978195107617
G2500010010600,G2500010010600,1.0,1.0
G2500010010700,G2500010010600,0.0,0.0
G2500010010700,G2500010010700,1.0,1.0
G2500010010700,G2500010990000,0.0,0.0
G2500010010800,G2500010010800,1.0,1.0
G2500010010900,G2500010010900,0.9998684469110452,0.9998684469110452
G2500010010900,G2500010011100,0.0001315530889548323,0.0001315530889548323
G2500010011002,G2500010011002,1.0,1.0
G2500010011100,G2500010010600,1.2592306288181486e-05,1.2592306288181486e-05
G2500010011100,G2500010010900,2.7265985516558257e-05,2.7265985516558257e-05
G2500010011100,G2500010011100,0.9999601417081952,0.9999601417081952
G2500010011200,G2500010011200,1.0,1.0
G2500010011200,G2500010990000,0.0,0.0
G2500010011300,G2500010011300,1.0,1.0
G2500010011300,G2500010011801,0.0,0.0
G2500010011400,G2500010010800,2.0823752509180833e-06,2.0823752509180833e-06
G2500010011400,G2500010011002,1.4056032943697064e-05,1.4056032943697064e-05
G2500010011400,G2500010011400,0.9999838615918054,0.9999838615918054
G2500010011500,G2500010011500,1.0,1.0
G2500010011600,G2500010011600,0.9998963755989853,0.9998963755989853
G2500010011600,G2500010990000,0.0001036244010147958,0.0001036244010147958
G2500010011700,G2500010011700,1.0,1.0
G2500010011801,G2500010011300,0.0,0.0
G2500010011801,G2500010011801,1.0,1.0
G2500010011802,G2500010011802,1.0,1.0
G2500010012001,G2500010011500,1.1422429314522593e-05,1.1422429314522593e-05
G2500010012001,G2500010012001,0.9999885775706855,0.9999885775706855
G2500010012002,G2500010012002,1.0,1.0
G2500010012101,G2500010012101,1.0,1.0
G2500010012102,G2500010012102,1.0,1.0
G2500010012102,G2500010015300,0.0,0.0
G2500010012200,G2500010011801,0.0,0.0
G2500010012200,G2500010012200,1.0,1.0
G2500010012502,G2500010012502,1.0,1.0
G2500010012601,G2500010012601,1.0,1.0
G2500010012602,G2500010012602,1.0,1.0
G2500010012700,G2500010012700,1.0,1.0
G2500010012800,G2500010012800,1.0,1.0
G2500010012900,G2500010012900,1.0,1.0
G2500010013002,G2500010013002,1.0,1.0
G2500010013100,G2500010013100,1.0,1.0
G2500010013200,G2500010013200,0.9998425942431822,0.9998425942431822
G2500010013200,G2500010015001,5.894408496618588e-05,5.894408496618588e-05
G2500010013200,G2500010015100,9.846167185158197e-05,9.846167185158197e-05
G2500010013300,G2500010013300,0.9993525760892833,0.9993525760892833
G2500010013300,G2500010013400,0.0,0.0
G2500010013300,G2500010990000,0.0006474239107166841,0.0006474239107166841
G2500010013400,G2500010012200,1.9412747487979055e-05,1.9412747487979055e-05
G2500010013400,G2500010013300,0.0,0.0
G2500010013400,G2500010013400,0.9999474713891502,0.9999474713891502
G2500010013400,G2500010990000,3.3115863361846625e-05,3.3115863361846625e-05
G2500010013500,G2500010013500,0.9999788382145954,0.9999788382145954
G2500010013500,G2500010015001,2.11617854045981e-05,2.11617854045981e-05
G2500010013600,G2500010013600,1.0,1.0
G2500010013700,G2500010013700,1.0,1.0
G2500010013700,G2500010013900,0.0,0.0
G2500010013800,G2500010013300,7.791444961630313e-06,7.791444961630313e-06
G2500010013800,G2500010013800,0.9999280483909155,0.9999280483909155
G2500010013800,G2500230530901,5.501714197396099e-05,5.501714197396099e-05
G2500010013800,G2500230530902,9.143022148851899e-06,9.143022148851899e-06
G2500010013900,G2500010013900,1.0,1.0
G2500010014002,G2500010014002,0.9999927085643053,0.9999927085643053
G2500010014002,G2500010014300,7.291435694704125e-06,7.291435694704125e-06
G2500010014100,G2500010014002,0.004711160204602733,0.004711160204602733
G2500010014100,G2500010014100,0.9952888397953973,0.9952888397953973
G2500010014300,G2500010014300,1.0,1.0
G2500010014402,G2500010014402,1.0,1.0
G2500010014500,G2500010014500,1.0,1.0
G2500010014500,G2500010014600,0.0,0.0
G2500010014600,G2500010014500,0.0,0.0
G2500010014600,G2500010014600,1.0,1.0
G2500010014700,G2500010014700,1.0,1.0
G2500010014800,G2500010014402,0.0014586265341020868,0.0014586265341020868
G2500010014800,G2500010014800,0.9985413734658979,0.9985413734658979
G2500010014900,G2500010014900,1.0,1.0
G2500010015001,G2500010013600,3.4200511737371337e-06,3.4200511737371337e-06
G2500010015001,G2500010015001,0.9999965799488263,0.9999965799488263
G2500010015002,G2500010015002,1.0,1.0
G2500010015100,G2500010015002,5.3733756808229274e-05,5.3733756808229274e-05
G2500010015100,G2500010015100,0.9999462662431917,0.9999462662431917
G2500010015200,G2500010014500,0.0,0.0
G2500010015200,G2500010015200,1.0,1.0
G2500010015300,G2500010015300,1.0,1.0
G2500010990000,G2500010010206,0.0,0.0
G2500010990000,G2500010010600,0.0,0.0
G2500010990000,G2500010010700,0.0,0.0
G2500010990000,G2500010010800,0.0,0.0
G2500010990000,G2500010010900,0.0,0.0
G2500010990000,G2500010011300,0.0,0.0
G2500010990000,G2500010011400,0.0,0.0
G2500010990000,G2500010011600,0.0,0.0
G2500010990000,G2500010011801,0.0,0.0
G2500010990000,G2500010012200,0.0,0.0
G2500010990000,G2500010013300,0.0,0.0
G2500010990000,G2500010013400,0.0,0.0
G2500010990000,G2500010013800,0.0,0.0
G2500010990000,G2500010014500,0.0,0.0
G2500010990000,G2500010014600,0.0,0.0
G2500010990000,G2500010014700,0.0,0.0
G2500010990000,G2500010014800,0.0,0.0
G2500010990000,G2500010014900,0.0,0.0
G2500010990000,G2500010015200,0.0,0.0
G2500010990000,G2500010990000,0.0,0.0
G2500030900100,G2500030900100,1.0,1.0
G2500030900200,G2500030900200,1.0,1.0
G2500030900300,G2500030900300,1.0,1.0
G2500030900400,G2500030900400,1.0,1.0
G2500030900500,G2500030900500,1.0,1.0
G2500030900600,G2500030900600,1.0,1.0
G2500030900700,G2500030900700,1.0,1.0
G2500030900800,G2500030900800,1.0,1.0
G2500030900900,G2500030900900,1.0,1.0
G2500030901100,G2500030901100,1.0,1.0
G2500030911100,G2500030911100,1.0,1.0
G2500030911100,G2500030923100,0.0,0.0
G2500030912100,G2500030912100,1.0,1.0
G2500030913100,G2500030913100,0.9999894815047912,0.9999894815047912
G2500030913100,G2500030914100,1.0518495208789036e-05,1.0518495208789036e-05
G2500030914100,G2500030913100,0.0,0.0
G2500030914100,G2500030914100,0.9999841402849389,0.9999841402849389
G2500030914100,G2500030924100,1.585971506116955e-05,1.585971506116955e-05
G2500030920101,G2500030920101,0.9999960624642792,0.9999960624642792
G2500030920101,G2500030920102,3.937535720831868e-06,3.937535720831868e-06
G2500030920102,G2500030920102,0.9999999532067978,0.9999999532067978
G2500030920102,G2500030935100,4.679320219242062e-08,4.679320219242062e-08
G2500030921300,G2500030921300,1.0,1.0
G2500030921400,G2500030921400,1.0,1.0
G2500030921500,G2500030921500,1.0,1.0
G2500030922100,G2500030922100,1.0,1.0
G2500030922200,G2500030922200,1.0,1.0
G2500030922300,G2500030922300,1.0,1.0
G2500030923100,G2500030911100,5.040136261091846e-07,5.040136261091846e-07
G2500030923100,G2500030912100,7.632206338224795e-07,7.632206338224795e-07
G2500030923100,G2500030923100,0.99999873276574,0.99999873276574
G2500030924100,G2500030924100,0.9999331600349775,0.9999331600349775
G2500030924100,G2500030925100,1.7316932771898e-06,1.7316932771898e-06
G2500030924100,G2500030934200,6.510827174532238e-05,6.510827174532238e-05
G2500030925101,G2500030925100,1.0,1.0
G2500030925102,G2500030925100,1.0,1.0
G2500030926100,G2500030926100,1.0,1.0
G2500030931100,G2500030931100,1.0,1.0
G2500030931300,G2500030921300,6.989123942103918e-07,6.989123942103918e-07
G2500030931300,G2500030931300,0.9999993010876058,0.9999993010876058
G2500030931300,G2500110040100,0.0,0.0
G2500030931400,G2500030931400,1.0,1.0
G2500030932200,G2500030932200,1.0,1.0
G2500030932300,G2500030932300,1.0,1.0
G2500030933200,G2500030914100,1.7133808974152853e-06,1.7133808974152853e-06
G2500030933200,G2500030933200,0.9999982866191026,0.9999982866191026
G2500030933300,G2500030933300,1.0,1.0
G2500030933400,G2500030933400,0.9999659830733152,0.9999659830733152
G2500030933400,G2500130813000,3.401692668482983e-05,3.401692668482983e-05
G2500030934200,G2500030934200,0.9999998326108048,0.9999998326108048
G2500030934200,G2500030934300,1.6738919515299478e-07,1.6738919515299478e-07
G2500030934300,G2500030934300,1.0,1.0
G2500030935100,G2500030935100,1.0,1.0
G2500030935200,G2500030935200,1.0,1.0
G2500030935300,G2500030921400,0.002317584362992138,0.002317584362992138
G2500030935300,G2500030935300,0.9976824156370079,0.9976824156370079
G2500050600100,G2500050600100,1.0,1.0
G2500050600202,G2500050600202,1.0,1.0
G2500050600203,G2500050600203,1.0,1.0
G2500050600204,G2500050600203,0.0001131018616667867,0.0001131018616667867
G2500050600204,G2500050600204,0.9998868981383332,0.9998868981383332
G2500050610100,G2500050610100,1.0,1.0
G2500050610202,G2500050610100,5.978238543741168e-05,5.978238543741168e-05
G2500050610202,G2500050610202,0.9999402176145626,0.9999402176145626
G2500050610203,G2500050610203,0.9999538825675824,0.9999538825675824
G2500050610203,G2500050610204,4.611743241757423e-05,4.611743241757423e-05
G2500050610204,G2500050610100,5.883845935711095e-05,5.883845935711095e-05
G2500050610204,G2500050610204,0.9999411615406429,0.9999411615406429
G2500050611101,G2500050611101,1.0,1.0
G2500050611102,G2500050611102,1.0,1.0
G2500050611201,G2500050611201,1.0,1.0
G2500050611202,G2500050611202,1.0,1.0
G2500050612100,G2500050612100,1.0,1.0
G2500050612201,G2500050612200,1.0,1.0
G2500050612202,G2500050612200,0.9999911849713018,0.9999911849713018
G2500050612202,G2500050614102,8.815028698151079e-06,8.815028698151079e-06
G2500050613100,G2500050613100,0.9999372360150491,0.9999372360150491
G2500050613100,G2500050613600,6.276398495081612e-05,6.276398495081612e-05
G2500050613300,G2500050613300,1.0,1.0
G2500050613400,G2500050613400,1.0,1.0
G2500050613600,G2500050613100,0.0043622158873595695,0.0043622158873595695
G2500050613600,G2500050613600,0.9956377841126405,0.9956377841126405
G2500050613600,G2500050613800,0.0,0.0
G2500050613700,G2500050613700,1.0,1.0
G2500050613800,G2500050613800,1.0,1.0
G2500050613901,G2500050613901,1.0,1.0
G2500050613902,G2500050613902,1.0,1.0
G2500050613902,G2500050615100,0.0,0.0
G2500050614000,G2500050613800,0.0009823826052786692,0.0009823826052786692
G2500050614000,G2500050614000,0.9990176173947213,0.9990176173947213
G2500050614101,G2500050613700,0.0018057250949017668,0.0018057250949017668
G2500050614101,G2500050614101,0.9981942749050983,0.9981942749050983
G2500050614101,G2500050616100,0.0,0.0
G2500050614102,G2500050612200,0.0,0.0
G2500050614102,G2500050614102,1.0,1.0
G2500050615100,G2500050613902,0.0,0.0
G2500050615100,G2500050615100,1.0,1.0
G2500050616100,G2500050616100,1.0,1.0
G2500050616100,G2500050617101,0.0,0.0
G2500050617101,G2500050616100,0.0,0.0
G2500050617101,G2500050617101,1.0,1.0
G2500050617102,G2500050617102,1.0,1.0
G2500050630101,G2500050630101,1.0,1.0
G2500050630102,G2500050630102,1.0,1.0
G2500050630201,G2500050630200,1.0,1.0
G2500050630202,G2500050630200,1.0,1.0
G2500050630301,G2500050630300,0.9997285014760904,0.9997285014760904
G2500050630301,G2500050630400,0.00027149852390967195,0.00027149852390967195
G2500050630302,G2500050630300,1.0,1.0
G2500050630400,G2500050630400,1.0,1.0
G2500050631101,G2500050631100,0.9999930155142889,0.9999930155142889
G2500050631101,G2500050631200,6.984485711114188e-06,6.984485711114188e-06
G2500050631102,G2500050631100,1.0,1.0
G2500050631200,G2500050631100,2.3654461278470676e-05,2.3654461278470676e-05
G2500050631200,G2500050631200,0.999973579967378,0.999973579967378
G2500050631200,G2500050631800,2.7655713435027905e-06,2.7655713435027905e-06
G2500050631300,G2500050631300,1.0,1.0
G2500050631400,G2500050631400,1.0,1.0
G2500050631500,G2500050631500,1.0,1.0
G2500050631600,G2500050631600,1.0,1.0
G2500050631700,G2500050631700,1.0,1.0
G2500050631800,G2500050631200,0.0,0.0
G2500050631800,G2500050631800,1.0,1.0
G2500050632100,G2500050632100,0.9999521488866098,0.9999521488866098
G2500050632100,G4400070010102,0.0,0.0
G2500050632100,G4400070016900,4.7851113390186244e-05,4.7851113390186244e-05
G2500050632200,G2500050632100,5.296583345009732e-05,5.296583345009732e-05
G2500050632200,G2500050632200,0.9993881707669116,0.9993881707669116
G2500050632200,G4400070010102,0.0,0.0
G2500050632200,G4400070010300,0.0005588633996383974,0.0005588633996383974
G2500050633100,G2500050633100,1.0,1.0
G2500050633200,G2500050633200,1.0,1.0
G2500050640100,G2500050640100,0.9900194689238025,0.9900194689238025
G2500050640100,G2500050640200,0.009978798194684039,0.009978798194684039
G2500050640100,G2500050646103,1.7328815133600832e-06,1.7328815133600832e-06
G2500050640201,G2500050640200,0.9980672902876672,0.9980672902876672
G2500050640201,G2500050640500,0.0019327097123328207,0.0019327097123328207
G2500050640202,G2500050640200,1.0,1.0
G2500050640300,G2500050640300,1.0,1.0
G2500050640400,G2500050640400,1.0,1.0
G2500050640500,G2500050640500,1.0,1.0
G2500050640600,G2500050640600,1.0,1.0
G2500050640700,G2500050640700,1.0,1.0
G2500050640800,G2500050640800,0.9943968895553558,0.9943968895553558
G2500050640800,G2500050641200,0.005603110444644271,0.005603110444644271
G2500050640901,G2500050640901,1.0,1.0
G2500050641000,G2500050641000,0.9934740486844161,0.9934740486844161
G2500050641000,G2500050642000,0.006525951315583838,0.006525951315583838
G2500050641101,G2500050641101,1.0,1.0
G2500050641200,G2500050641200,1.0,1.0
G2500050641300,G2500050641300,1.0,1.0
G2500050641400,G2500050641400,1.0,1.0
G2500050641500,G2500050641500,1.0,1.0
G2500050641600,G2500050640800,0.040180349305794304,0.040180349305794304
G2500050641600,G2500050641600,0.9598196506942057,0.9598196506942057
G2500050641700,G2500050641700,1.0,1.0
G2500050641800,G2500050641800,1.0,1.0
G2500050641900,G2500050641900,1.0,1.0
G2500050642000,G2500050642000,1.0,1.0
G2500050642100,G2500050642000,1.1012613619792933e-05,1.1012613619792933e-05
G2500050642100,G2500050642100,0.9999889873863802,0.9999889873863802
G2500050642200,G2500050642200,1.0,1.0
G2500050642300,G2500050642300,1.0,1.0
G2500050642400,G2500050642400,1.0,1.0
G2500050642500,G2500050617101,8.472217462858925e-07,8.472217462858925e-07
G2500050642500,G2500050641700,4.7696781716435566e-05,4.7696781716435566e-05
G2500050642500,G2500050642500,0.9999514559965372,0.9999514559965372
G2500050644101,G2500050644101,1.0,1.0
G2500050644102,G2500050644102,0.9999636083013469,0.9999636083013469
G2500050644102,G2500050645102,3.639169865305443e-05,3.639169865305443e-05
G2500050644200,G2500050644200,0.999894912419779,0.999894912419779
G2500050644200,G2500050645102,0.00010508758022095412,0.00010508758022095412
G2500050645101,G2500050645101,1.0,1.0
G2500050645102,G2500050644200,7.336359633153195e-05,7.336359633153195e-05
G2500050645102,G2500050645102,0.9999266364036685,0.9999266364036685
G2500050645103,G2500050645103,1.0,1.0
G2500050646101,G2500050646101,1.0,1.0
G2500050646103,G2500050646103,1.0,1.0
G2500050646104,G2500050646104,1.0,1.0
G2500050650101,G2500050650101,1.0,1.0
G2500050650102,G2500050650102,1.0,1.0
G2500050650201,G2500050650201,1.0,1.0
G2500050650202,G2500050650202,1.0,1.0
G2500050650300,G2500050650300,1.0,1.0
G2500050650400,G2500050650400,1.0,1.0
G2500050650500,G2500050650500,1.0,1.0
G2500050650600,G2500050650600,1.0,1.0
G2500050650700,G2500050650700,1.0,1.0
G2500050650800,G2500050650800,1.0,1.0
G2500050650900,G2500050650900,1.0,1.0
G2500050651001,G2500050651001,0.9999979783346792,0.9999979783346792
G2500050651001,G2500050653101,2.0216653208151816e-06,2.0216653208151816e-06
G2500050651002,G2500050651002,1.0,1.0
G2500050651100,G2500050651100,1.0,1.0
G2500050651200,G2500050651200,1.0,1.0
G2500050651300,G2500050651300,1.0,1.0
G2500050651400,G2500050651400,1.0,1.0
G2500050651500,G2500050651500,1.0,1.0
G2500050651600,G2500050651600,1.0,1.0
G2500050651700,G2500050651700,1.0,1.0
G2500050651800,G2500050651800,0.9925207664559685,0.9925207664559685
G2500050651800,G2500050651900,0.007479233544031506,0.007479233544031506
G2500050651900,G2500050651800,9.097552758308016e-05,9.097552758308016e-05
G2500050651900,G2500050651900,0.9919321702462037,0.9919321702462037
G2500050651900,G2500050652600,0.00797685422621315,0.00797685422621315
G2500050652000,G2500050652000,1.0,1.0
G2500050652100,G2500050652100,1.0,1.0
G2500050652200,G2500050652200,1.0,1.0
G2500050652300,G2500050652300,1.0,1.0
G2500050652400,G2500050652400,0.9994750193306836,0.9994750193306836
G2500050652400,G2500050653301,0.0005249806693164399,0.0005249806693164399
G2500050652500,G2500050652500,1.0,1.0
G2500050652600,G2500050652600,1.0,1.0
G2500050652700,G2500050652700,1.0,1.0
G2500050652800,G2500050652800,1.0,1.0
G2500050653101,G2500050653101,1.0,1.0
G2500050653102,G2500050653102,1.0,1.0
G2500050653203,G2500050652400,0.00039285221099218305,0.00039285221099218305
G2500050653203,G2500050653203,0.9996071477890078,0.9996071477890078
G2500050653204,G2500050653204,1.0,1.0
G2500050653301,G2500050652400,2.1857846357782663e-05,2.1857846357782663e-05
G2500050653301,G2500050653301,0.9999781421536422,0.9999781421536422
G2500050653304,G2500050653304,1.0,1.0
G2500050654100,G2500050654100,0.9998275285566192,0.9998275285566192
G2500050654100,G2500050654200,0.00017247144338080115,0.00017247144338080115
G2500050654200,G2500050650300,2.7572570895417016e-05,2.7572570895417016e-05
