id,user_id,rdv,asofright,ovr55,clusteros,phased,stalled,name,status,descr,prj_url,address,state,zip_code,height,stories,year_compl,prjarea,singfamhu,smmultifam,lgmultifam,hu,gqpop,rptdemp,commsf,hotelrms,onsitepark,total_cost,ret_sqft,ofcmd_sqft,indmf_sqft,whs_sqft,rnd_sqft,ei_sqft,other_sqft,hotel_sqft,latitude,longitude,mixed_use,created_at,updated_at,municipal,devlper,yrcomp_est,units_1bd,units_2bd,units_3bd,affrd_unit,aff_u30,aff_30_50,aff_50_80,aff_80p,headqtrs,park_type,publicsqft,unknownhu,aff_unknown,unk_sqft,loc_id,parcel_fy,rpa_name,county,nhood,n_transit,mepa_id,traffic_count_data,mepa_id_present,traffic_count_data_present
242,1,false,false,false,false,false,false,Bridge Boston Charter School,completed," The project consists of the renovation of the former Roxbury Comprehensive Health Center into the new Bridge Boston Charter School. In addition to the renovation, a new classroom wing and gymnasium will be constructed.",,443 Warren St,MA,"=""02119""",,,2018,,0,0,0,0,0,,46000,0,,,0.0,0.0,0.0,0.0,0.0,46000.0,0.0,0.0,42.3161586522969,-71.0845006245423,false,2016-01-14 15:46:40 UTC,2019-12-19 17:10:08 UTC,Boston,,false,,,,0,0,0,0,0,false,,0,0,,,M_234262_896273,2017,Metropolitan Area Planning Council,Suffolk,Roxbury,"[""MBTA Key Bus Route: 28"", ""MBTA Key Bus Route: 22"", ""MBTA Key Bus Route: 23"", ""MBTA Key Bus Route: 32""]",,,,
538,344,true,false,false,false,false,false,RCG East Mill,completed,Residential development in North Andover,,21 High Street,MA,"=""01845""",,,2018,,0,0,51,51,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.7016305401238,-71.1246075350511,false,2017-11-07 11:38:52 UTC,2020-02-27 20:19:17 UTC,North Andover,,false,,,,0,0,0,0,0,false,,0,,,,M_230839_939019,2013,Merrimack Valley Planning Commission,Essex,,"[""RTA: LRTA"", ""RTA: MVRTA""]",,,,
539,344,false,false,false,false,false,false,Bradstreet on Main,completed,Mixed use commercial on Maine and apartments on Saunders An exciting commercial opportunity coming to North Andover. Be part of the new signature development taking place on Main Street.,,70 Main Street,MA,"=""01810""",,2,2017,,0,0,15,15,0,,18000,0,0,,9000.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,42.6585693510806,-71.142490973303,true,2017-11-07 11:59:45 UTC,2020-02-21 15:18:12 UTC,Andover,,false,,,,0,0,0,0,0,false,,0,,,,F_752294_3065224,2016,Merrimack Valley Planning Commission,Essex,,"[""Commuter Rail: Andover""]",,,,
695,1,false,false,false,false,false,false,159-175 Main St,completed,,,159-175 Main St,MA,"=""01801""",,,2009,,,,,0,,,11200,,,,11200.0,0.0,0.0,0.0,0.0,0.0,0.0,,42.4715595232602,-71.1480798264267,false,2011-03-19 07:00:00 UTC,2018-04-24 19:41:05 UTC,Woburn,,false,,,,,,,,,false,,,,,,F_751113_2997065,2017,Metropolitan Area Planning Council,Middlesex,,[],,,,
541,358,true,false,false,false,false,false,Cahoon Museum of American Art,completed,"Museum Addition. Construction of an 3,566 sf addition to the northwest corner of the historic building, consisting of a two-story addition abutting the historic building, a one-story portion for new entry and gift shop, and a one-story portion for a large gallery.",,4676 Falmouth Road,MA,"=""02635""",,2,2017,3566,,,,0,,,3566,,0,,,,,,,3566.0,,,41.6380936069252,-70.4508618237299,false,2017-10-10 19:31:05 UTC,2018-04-24 19:33:11 UTC,Barnstable,,false,,,,,,,,,false,,,,,,F_942926_2695002,2016,Cape Cod Commission,Barnstable,,"[""RTA: CCRTA""]",,,,
1134,1,false,false,false,false,false,false,3 pond park,completed, 5000 sf tenant fit out for Health Club,,3 pond park,MA,"=""02043""",,,2015,,,,,0,,,5000,,,,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,,42.1758697330057,-70.9187679173214,false,2014-12-11 16:06:00 UTC,2018-04-24 20:06:02 UTC,Hingham,,false,,,,,,,,,false,,,,,,F_813714_2889650,2011,Metropolitan Area Planning Council,Plymouth,,[],,,,
2175,1,false,false,false,false,false,false,Lowland Farms,completed,"Residential Each of these 20, single-unit condo buildings will have five bedrooms.",,Lowland Farm Rd,MA,"=""01929""",,,2011,,,20,,20,,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,42.6254087755974,-70.7846550141382,false,2011-03-19 07:00:00 UTC,2018-04-24 21:04:38 UTC,Essex,,false,,,20,,,,,,false,,,,,,M_258682_930783,2018,Metropolitan Area Planning Council,Essex,,[],,,,
542,363,false,false,false,false,true,false,Riverfront Business Park,planning," a phased commercial development consisting of industrial / warehouse space as well as retail, office and restaurant space.",,170 S Main Street,MA,"=""02720""",,,2022,,0,0,0,0,0,,2552600,0,5609,,133000.0,299000.0,2038000.0,0.0,0.0,0.0,0.0,83200.0,41.7743029739058,-71.098601487893,false,2017-11-06 15:46:26 UTC,2019-12-31 18:48:41 UTC,Freetown,,false,,,,0,,,,,false,,,,,,M_232908_836522,2017,Southeast Regional Planning & Economic Development District,Bristol,,[],,,,
738,1,true,false,false,false,false,false,450 Cambridge Street,completed,mixed use rental with ground floor retail and on site garage parking,http://www.bostonplans.org/getattachment/03dbc2ae-a64e-4132-97ee-acc03f26d4ec,450 Cambridge Street,MA,"=""02134""",46,4,2017,49810,0,0,40,40,0,,1631,0,40,16500000,1631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3538949096954,-71.1355942281554,true,2014-12-09 15:48:29 UTC,2020-01-02 14:39:11 UTC,Boston,The Arcand Family/Allston LLC and Eagle Development Partners,false,,,,5,0,0,0,5,false,garage,0,,,,M_230015_900450,2017,Metropolitan Area Planning Council,Suffolk,Allston,"[""Rapid Transit: Harvard Avenue""]",,,,
4,362,true,false,false,false,false,false,201 West Brookline Street,completed,"luxury condo units in restored Concord Baptist Church in heart of South Boston. By Triad Alpha Partners  In restored and modernized church, features 1 penthouse unit and underground garage",,201 west brookline street,MA,"=""02118""",,5,2018,29314,0,0,9,9,0,,0,0,21,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3433886667597,-71.0764206064062,false,2018-04-24 19:03:47 UTC,2020-02-17 21:06:11 UTC,Boston,Triad Alpha Partners  ,false,,,,0,0,0,0,0,false,underground,0,,,,M_234908_899298,2017,Metropolitan Area Planning Council,Suffolk,South End,"[""Rapid Transit: Back Bay""]",,,,
